name,time,link,image
Festival at San Sebastian,1921,https://www.wikiart.org/en/salvador-dali/festival-at-san-sebastian,https://uploads4.wikiart.org/images/salvador-dali/festival-at-san-sebastian.jpg
Festival in Figueras,1921,https://www.wikiart.org/en/salvador-dali/festival-in-figueras,https://uploads4.wikiart.org/images/salvador-dali/festival-in-figueras.jpg
"Festival of St. Lucia At, Villamalla",1921,https://www.wikiart.org/en/salvador-dali/festival-of-st-lucia-at-villamalla,https://uploads4.wikiart.org/images/salvador-dali/festival-of-st-lucia-at-villamalla.jpg
"Festival of St. Lucia At, Villamalla",1921,https://www.wikiart.org/en/salvador-dali/festival-of-st-lucia-at-villamalla-1,https://uploads4.wikiart.org/images/salvador-dali/festival-of-st-lucia-at-villamalla-1.jpg
Landscape Near Cadaques,1921,https://www.wikiart.org/en/salvador-dali/landscape-near-cadaques-1921,https://uploads4.wikiart.org/images/salvador-dali/landscape-near-cadaques-1921.jpg
Landscape Near Cadaques,1921,https://www.wikiart.org/en/salvador-dali/landscape-near-cadaques-1921-1,https://uploads4.wikiart.org/images/salvador-dali/landscape-near-cadaques-1921-1.jpg
Llaner Beach in Cadaques,1921,https://www.wikiart.org/en/salvador-dali/llaner-beach-in-cadaques,https://uploads4.wikiart.org/images/salvador-dali/llaner-beach-in-cadaques.jpg
Man Holding Up a Baby as Though He Were Drinking from a Bottle,1921,https://www.wikiart.org/en/salvador-dali/man-holding-up-a-baby-as-though-he-were-drinking-from-a-bottle,https://uploads4.wikiart.org/images/salvador-dali/man-holding-up-a-baby-as-though-he-were-drinking-from-a-bottle.jpg
Man with Porron,1921,https://www.wikiart.org/en/salvador-dali/man-with-porron,https://uploads4.wikiart.org/images/salvador-dali/man-with-porron.jpg
Motherhood,1921,https://www.wikiart.org/en/salvador-dali/motherhood,https://uploads4.wikiart.org/images/salvador-dali/motherhood.jpg
"Nymphs in a Romantic, Garden",1921,https://www.wikiart.org/en/salvador-dali/nymphs-in-a-romantic-garden,https://uploads4.wikiart.org/images/salvador-dali/nymphs-in-a-romantic-garden.jpg
